city,beijing_time,local_time,store_id,store_name,item_id,item_name,price,original_price,stock,category
Toronto,2026-03-04 13:29,2026-03-04 09:30,63cef866290ecaebc6d392ff,Unknown,699483d1b00680d6dd041111,Vetdiet Feline Adult - Sensitive Skin & Stomach In Salmon | Cat Food | Size: 1.59,16.5,32.99,1, Cat Supplies 
Toronto,2026-03-04 13:29,2026-03-04 09:30,63cef866290ecaebc6d392ff,Unknown,699483bbfb8f36e2bccce0d0,Vetdiet Puppy - Chicken & Rice | Dog Food | Size: 2.72,17,33.99,3,Dog Supplies
Toronto,2026-03-04 13:29,2026-03-04 09:30,63cef866290ecaebc6d392ff,Unknown,699483a12e0c6b02d5c15ba9,Vetdiet Kitten - Chicken & Rice | Cat Food | Size: 6.8,31,61.99,1,Cat Supplies
Toronto,2026-03-04 13:29,2026-03-04 09:30,63cef866290ecaebc6d392ff,Unknown,699483901af04775dafff557,Vetdiet Adult - Mobility Formula | Dog Food | Size: 2.72,20,39.99,2,Dog Supplies
Toronto,2026-03-04 13:29,2026-03-04 09:30,63cef866290ecaebc6d392ff,Unknown,69948351fb8f36e2bcccb602,Vetdiet Feline Adult - Indoor in Salmon & Rice | Cat Food | Size: 1.59,14.99,29.99,2,Cat Supplies
Toronto,2026-03-04 13:29,2026-03-04 09:30,63cef866290ecaebc6d392ff,Unknown,69864249ccafe934a2488a46,PureBites Mid Size Treats - Beef & Cheese | Size: 250,14.49,28.99,3,Dog Supplies
Toronto,2026-03-04 13:29,2026-03-04 09:30,63cef866290ecaebc6d392ff,Unknown,69790e2fe4fe434135030c9f,Vetdiet Feline Adult - Dental Care - Chicken & Rice | Cat Food | Size: 1.59,16.5,32.99,2,Cat Supplies
Toronto,2026-03-04 13:29,2026-03-04 09:30,63cef866290ecaebc6d392ff,Unknown,69790deac889febbe732f2d8,Vetdiet Feline Adult - Chicken & Rice | Cat Food | Size: 1.59,13.49,26.99,1, Cat Supplies 
Toronto,2026-03-04 13:29,2026-03-04 09:30,63cef866290ecaebc6d392ff,Unknown,69666bba29864c81d5f23ed5,chicken flavour dog treats,2,3.99,10, Dog Supplies
Toronto,2026-03-04 13:29,2026-03-04 09:30,63cef866290ecaebc6d392ff,Unknown,69666a9a29864c81d5f1d0f0,Vetdiet Kitten - Chicken & Rice | Cat Food | Size: 1.59,13.49,26.99,1,Cat Supplies
Toronto,2026-03-04 13:29,2026-03-04 09:30,63cef866290ecaebc6d392ff,Unknown,696669d2b2db10be9929b4d2,Vetdiet Feline Adult - Dental Care - Chicken & Rice | Cat Food | Size: 1.59,16.5,32.99,4,Cat Supplies
Toronto,2026-03-04 13:29,2026-03-04 09:30,629cec56061cc26b59532732,Unknown,699da6c37a8fe48cee5f6560,Schwarzkopf color ultimate vibrant color,4.49,8.99,1,HBA
Toronto,2026-03-04 13:29,2026-03-04 09:30,5ccc4efc3b02ab30509a36b8,Unknown,69a720dd2039cac13e0a791a,Mixed Produce Box #15,5,5,1,Produce
Toronto,2026-03-04 13:29,2026-03-04 09:30,5ccc4efc3b02ab30509a36b8,Unknown,69a71ba52210a87377ad7820,Mixed Produce Box #8,5,5,1,Produce
Toronto,2026-03-04 13:29,2026-03-04 09:30,5ccc4efc3b02ab30509a36b8,Unknown,69a71b7e07f2c5daf9da03bd,Mixed Produce Box #4,5,5,1,Produce
Toronto,2026-03-04 13:29,2026-03-04 09:30,5ccc4efc3b02ab30509a36b8,Unknown,69a71b462210a87377ad48e5,Mixed Produce Box #1,5,5,1,Produce
Toronto,2026-03-04 13:29,2026-03-04 09:30,5ccc4efc3b02ab30509a36b8,Unknown,69a6de9a2ec94e03640fd4bd,Smoked Ham Steak,3,7.79,1,Meat & Seafood
Toronto,2026-03-04 13:29,2026-03-04 09:30,5ccc4efc3b02ab30509a36b8,Unknown,69a6db04c84b98d3a1e5badf,Snow Peas,2.5,5,1,"Peas, Beans & Corn"
Toronto,2026-03-04 13:29,2026-03-04 09:30,5fac3e05d7528a3c966b13b2,Unknown,69a474e61c01c60f096b3a1f,Fruit Box #307,1.5,1.5,1,Produce
Toronto,2026-03-04 13:29,2026-03-04 09:30,5fac3e05d7528a3c966b13b2,Unknown,69a4746605a3271aa54fa50e,Fruit Box #304,1.5,1.5,1,Produce
Toronto,2026-03-04 13:29,2026-03-04 09:30,5fac3e05d7528a3c966b13b2,Unknown,69a4744205a3271aa54f9498,Fruit Box #301,1,1,1,Produce
Toronto,2026-03-04 13:29,2026-03-04 09:30,5fac3e05d7528a3c966b13b2,Unknown,69a4261ae83bf78a3fbd590b,"Cold foam, Salted Caramel Mocha, Limited Edition",2.99,5.99,2,Centre of Store
Toronto,2026-03-04 13:29,2026-03-04 09:30,5fac3e05d7528a3c966b13b2,Unknown,69a310c34e0bfb1675f48853,Northfork bison 224g,7,12,1,Meat
Toronto,2026-03-04 13:29,2026-03-04 09:30,5fac3e05d7528a3c966b13b2,Unknown,69a1cef119b9e16c9bac9bff,Fruit Box #522,2,2,1,Produce
Toronto,2026-03-04 13:29,2026-03-04 09:30,5fac3e05d7528a3c966b13b2,Unknown,69a1cee2caf4d17d756e2dc9,Fruit Box #521,2,2,1,Produce
